Function,Algorithm,Run,Best
F4,FPA,11,9.544978e+01
F4,FPA,12,8.940406e+01
F4,FPA,13,9.403973e+01
F4,FPA,14,8.950586e+01
F4,FPA,15,1.008801e+02
F4,PSO,1,9.365154e+01
F4,PSO,2,9.086828e+01
F4,PSO,3,8.985302e+01
F4,PSO,4,1.083896e+02
F4,PSO,5,8.777486e+01
F4,PSO,6,8.402919e+01
F4,PSO,7,8.867506e+01
F4,PSO,8,9.357722e+01
F4,PSO,9,9.248991e+01
F4,PSO,10,9.689547e+01
F4,PSO,11,8.988247e+01
F4,PSO,12,8.588208e+01
F4,PSO,13,9.540193e+01
F4,PSO,14,9.259971e+01
F4,PSO,15,9.708820e+01
F4,DE,1,1.177992e+02
F4,DE,2,1.385398e+02
F4,DE,3,1.308666e+02
F4,DE,4,1.123643e+02
F4,DE,5,1.153988e+02
F4,DE,6,1.187264e+02
F4,DE,7,1.164379e+02
F4,DE,8,1.159501e+02
F4,DE,9,1.130918e+02
F4,DE,10,1.159998e+02
F4,DE,11,1.180909e+02
F4,DE,12,9.744209e+01
F4,DE,13,1.028839e+02
F4,DE,14,1.004231e+02
F4,DE,15,1.128630e+02
F4,L-SHADE,1,9.666257e+01
F4,L-SHADE,2,1.023828e+02
F4,L-SHADE,3,1.118853e+02
F4,L-SHADE,4,9.117819e+01
F4,L-SHADE,5,9.207996e+01
F4,L-SHADE,6,9.273644e+01
F4,L-SHADE,7,9.006736e+01
F4,L-SHADE,8,9.365109e+01
F4,L-SHADE,9,9.347515e+01
F4,L-SHADE,10,8.763335e+01
F4,L-SHADE,11,1.008248e+02
F4,L-SHADE,12,9.988607e+01
F4,L-SHADE,13,9.361306e+01
F4,L-SHADE,14,9.392751e+01
F4,L-SHADE,15,9.302214e+01
F4,GWO,1,8.316866e+01
F4,GWO,2,8.248521e+01
F4,GWO,3,7.373034e+01
F4,GWO,4,9.001281e+01
F4,GWO,5,7.773940e+01
F4,GWO,6,8.769260e+01
F4,GWO,7,9.115183e+01
F4,GWO,8,7.531412e+01
F4,GWO,9,8.174209e+01
F4,GWO,10,8.412554e+01
F4,GWO,11,8.425127e+01
F4,GWO,12,7.619635e+01
F4,GWO,13,8.820995e+01
F4,GWO,14,9.044813e+01
F4,GWO,15,8.189991e+01
F4,WOA,1,2.225271e+01
F4,WOA,2,2.157877e+01
F4,WOA,3,2.016826e+01
F4,WOA,4,2.206885e+01
F4,WOA,5,2.958822e+01
F4,WOA,6,1.359382e+01
F4,WOA,7,1.481078e+01
F4,WOA,8,2.813974e+01
F4,WOA,9,2.998621e+01
F4,WOA,10,2.841516e+01
F4,WOA,11,3.259583e+01
F4,WOA,12,2.418444e+01
F4,WOA,13,2.173428e+01
F4,WOA,14,3.513962e+01
F4,WOA,15,2.383126e+01
F4,TPE,1,7.164210e+01
F4,TPE,2,1.037853e+02
F4,TPE,3,1.018144e+02
F4,TPE,4,8.758466e+01
F4,TPE,5,9.925890e+01
F4,TPE,6,1.042502e+02
F4,TPE,7,1.104613e+02
F4,TPE,8,8.897574e+01
F4,TPE,9,1.069967e+02
F4,TPE,10,9.859357e+01
F4,TPE,11,9.239071e+01
F4,TPE,12,9.531401e+01
F4,TPE,13,1.027970e+02
F4,TPE,14,9.279417e+01
F4,TPE,15,8.415833e+01
F5,IFPOA-X,1,2.761054e+08
F5,IFPOA-X,2,3.558990e+08
F5,IFPOA-X,3,1.715914e+08
F5,IFPOA-X,4,1.015331e+08
F5,IFPOA-X,5,3.303488e+08
F5,IFPOA-X,6,3.235601e+08
F5,IFPOA-X,7,5.271572e+08
F5,IFPOA-X,8,3.924440e+08
F5,IFPOA-X,9,3.229841e+08
F5,IFPOA-X,10,3.659551e+08
F5,IFPOA-X,11,2.203417e+08
F5,IFPOA-X,12,2.315137e+08
F5,IFPOA-X,13,2.946116e+08
F5,IFPOA-X,14,2.650107e+08
F5,IFPOA-X,15,4.072188e+08
F5,FPA,1,5.213600e+08
F5,FPA,2,3.810769e+08
F5,FPA,3,4.777266e+08
F5,FPA,4,4.493879e+08
F5,FPA,5,6.178292e+08
F5,FPA,6,3.843223e+08
F5,FPA,7,5.673356e+08
F5,FPA,8,5.786522e+08
F5,FPA,9,6.372821e+08
F5,FPA,10,4.850919e+08
F5,FPA,11,3.563955e+08
F5,FPA,12,5.302262e+08
F5,FPA,13,4.878696e+08
F5,FPA,14,6.050250e+08
F5,FPA,15,5.721911e+08
F5,PSO,1,1.338893e+08
F5,PSO,2,1.325049e+08
F5,PSO,3,1.103706e+08
F5,PSO,4,6.736164e+07
F5,PSO,5,1.341337e+08
F5,PSO,6,1.183578e+08
F5,PSO,7,1.370750e+08
F5,PSO,8,2.445842e+08
F5,PSO,9,4.770596e+08
F5,PSO,10,1.646144e+08
F5,PSO,11,2.639637e+08
F5,PSO,12,2.412119e+08
F5,PSO,13,1.813177e+08
F5,PSO,14,3.980711e+08
F5,PSO,15,2.695146e+08
F5,DE,1,4.686702e+08
F5,DE,2,5.600109e+08
F5,DE,3,3.502018e+08
F5,DE,4,3.906650e+08
F5,DE,5,3.761140e+08
F5,DE,6,3.780797e+08
F5,DE,7,3.245964e+08
F5,DE,8,2.665950e+08
F5,DE,9,3.308883e+08
F5,DE,10,1.610710e+08
F5,DE,11,3.469833e+08
F5,DE,12,4.324235e+08
F5,DE,13,2.073201e+08
F5,DE,14,5.417250e+08
F5,DE,15,4.387835e+08
F5,L-SHADE,1,8.632471e+07
F5,L-SHADE,2,8.515924e+07
F5,L-SHADE,3,3.279740e+07
F5,L-SHADE,4,1.529807e+08
F5,L-SHADE,5,9.946812e+07
