Function,Variant,Run,Best
F5,IFPOA-X (no OBL),3,1.101617e+08
F5,IFPOA-X (no OBL),4,1.422443e+08
F5,IFPOA-X (no OBL),5,9.339898e+07
F5,IFPOA-X (no OBL),6,2.858661e+07
F5,IFPOA-X (no OBL),7,8.458806e+07
F5,IFPOA-X (no OBL),8,9.210045e+07
F5,IFPOA-X (no OBL),9,1.132088e+08
F5,IFPOA-X (no OBL),10,9.966410e+07
F5,IFPOA-X (no OBL),11,7.911655e+07
F5,IFPOA-X (no OBL),12,9.075836e+07
F5,IFPOA-X (no OBL),13,8.854988e+07
F5,IFPOA-X (no OBL),14,1.658798e+08
F5,IFPOA-X (no OBL),15,5.108044e+07
F5,IFPOA-X (no OBL),16,8.780506e+07
F5,IFPOA-X (no OBL),17,1.064505e+08
F5,IFPOA-X (no OBL),18,1.093889e+08
F5,IFPOA-X (no OBL),19,8.005597e+07
F5,IFPOA-X (no OBL),20,1.348411e+08
F5,IFPOA-X (base/FPA),1,7.302202e+07
F5,IFPOA-X (base/FPA),2,3.179213e+07
F5,IFPOA-X (base/FPA),3,1.269987e+08
F5,IFPOA-X (base/FPA),4,6.481650e+07
F5,IFPOA-X (base/FPA),5,7.742976e+07
F5,IFPOA-X (base/FPA),6,7.411804e+07
F5,IFPOA-X (base/FPA),7,5.971099e+07
F5,IFPOA-X (base/FPA),8,8.886165e+07
F5,IFPOA-X (base/FPA),9,7.748920e+07
F5,IFPOA-X (base/FPA),10,8.746453e+07
F5,IFPOA-X (base/FPA),11,1.060446e+08
F5,IFPOA-X (base/FPA),12,1.238974e+08
F5,IFPOA-X (base/FPA),13,5.679407e+07
F5,IFPOA-X (base/FPA),14,6.599870e+07
F5,IFPOA-X (base/FPA),15,1.054989e+08
F5,IFPOA-X (base/FPA),16,1.007110e+08
F5,IFPOA-X (base/FPA),17,1.066895e+08
F5,IFPOA-X (base/FPA),18,1.272234e+08
F5,IFPOA-X (base/FPA),19,2.888260e+07
F5,IFPOA-X (base/FPA),20,9.027934e+07
F6,IFPOA-X (no OBL),1,3.009200e+04
F6,IFPOA-X (no OBL),2,3.126000e+04
F6,IFPOA-X (no OBL),3,4.780600e+04
F6,IFPOA-X (no OBL),4,3.565900e+04
F6,IFPOA-X (no OBL),5,3.747300e+04
F6,IFPOA-X (no OBL),6,4.415500e+04
F6,IFPOA-X (no OBL),7,3.885100e+04
F6,IFPOA-X (no OBL),8,4.379800e+04
F6,IFPOA-X (no OBL),9,4.059600e+04
F6,IFPOA-X (no OBL),10,2.785700e+04
F6,IFPOA-X (no OBL),11,3.166300e+04
F6,IFPOA-X (no OBL),12,3.896800e+04
F6,IFPOA-X (no OBL),13,2.961900e+04
F6,IFPOA-X (no OBL),14,2.767300e+04
F6,IFPOA-X (no OBL),15,2.597600e+04
F6,IFPOA-X (no OBL),16,4.311700e+04
F6,IFPOA-X (no OBL),17,3.746800e+04
F6,IFPOA-X (no OBL),18,4.732900e+04
F6,IFPOA-X (no OBL),19,4.055000e+04
F6,IFPOA-X (no OBL),20,2.361800e+04
F6,IFPOA-X (base/FPA),1,3.357600e+04
F6,IFPOA-X (base/FPA),2,2.423000e+04
F6,IFPOA-X (base/FPA),3,4.152300e+04
F6,IFPOA-X (base/FPA),4,2.626700e+04
F6,IFPOA-X (base/FPA),5,3.111800e+04
F6,IFPOA-X (base/FPA),6,4.038900e+04
F6,IFPOA-X (base/FPA),7,3.623600e+04
F6,IFPOA-X (base/FPA),8,3.123000e+04
F6,IFPOA-X (base/FPA),9,2.767000e+04
F6,IFPOA-X (base/FPA),10,3.949800e+04
F6,IFPOA-X (base/FPA),11,3.212900e+04
F6,IFPOA-X (base/FPA),12,3.392900e+04
F6,IFPOA-X (base/FPA),13,3.511400e+04
F6,IFPOA-X (base/FPA),14,4.545600e+04
F6,IFPOA-X (base/FPA),15,5.048300e+04
F6,IFPOA-X (base/FPA),16,3.547900e+04
F6,IFPOA-X (base/FPA),17,3.709600e+04
F6,IFPOA-X (base/FPA),18,4.398700e+04
F6,IFPOA-X (base/FPA),19,1.330600e+04
F6,IFPOA-X (base/FPA),20,3.939800e+04
F7,IFPOA-X (no OBL),1,3.567384e+01
F7,IFPOA-X (no OBL),2,3.993077e+01
F7,IFPOA-X (no OBL),3,4.496937e+01
F7,IFPOA-X (no OBL),4,4.385795e+01
F7,IFPOA-X (no OBL),5,4.722334e+01
F7,IFPOA-X (no OBL),6,3.981216e+01
F7,IFPOA-X (no OBL),7,5.505084e+01
F7,IFPOA-X (no OBL),8,4.928523e+01
F7,IFPOA-X (no OBL),9,4.872954e+01
F7,IFPOA-X (no OBL),10,3.305693e+01
F7,IFPOA-X (no OBL),11,8.943847e+01
F7,IFPOA-X (no OBL),12,8.559351e+01
F7,IFPOA-X (no OBL),13,8.709017e+01
F7,IFPOA-X (no OBL),14,9.186098e+01
F7,IFPOA-X (no OBL),15,8.517806e+01
F7,IFPOA-X (no OBL),16,5.303898e+01
F7,IFPOA-X (no OBL),17,5.055667e+01
F7,IFPOA-X (no OBL),18,1.505361e+01
F7,IFPOA-X (no OBL),19,4.030528e+01
F7,IFPOA-X (no OBL),20,3.457307e+01
F7,IFPOA-X (base/FPA),1,7.715048e+01
F7,IFPOA-X (base/FPA),2,3.659382e+01
F7,IFPOA-X (base/FPA),3,3.056520e+01
F7,IFPOA-X (base/FPA),4,7.573971e+01
F7,IFPOA-X (base/FPA),5,3.471645e+01
F7,IFPOA-X (base/FPA),6,4.141514e+01
F7,IFPOA-X (base/FPA),7,5.515823e+01
F7,IFPOA-X (base/FPA),8,4.381938e+01
F7,IFPOA-X (base/FPA),9,8.312531e+01
F7,IFPOA-X (base/FPA),10,4.921761e+01
F7,IFPOA-X (base/FPA),11,4.340395e+01
F7,IFPOA-X (base/FPA),12,4.585954e+01
F7,IFPOA-X (base/FPA),13,6.805814e+01
F7,IFPOA-X (base/FPA),14,3.957343e+01
F7,IFPOA-X (base/FPA),15,3.214499e+01
F7,IFPOA-X (base/FPA),16,6.578314e+01
F7,IFPOA-X (base/FPA),17,3.952576e+01
F7,IFPOA-X (base/FPA),18,6.398466e+01
F7,IFPOA-X (base/FPA),19,3.502507e+01
F7,IFPOA-X (base/FPA),20,3.631820e+01
F8,IFPOA-X (no OBL),1,4.609134e+03
F8,IFPOA-X (no OBL),2,4.910861e+03
F8,IFPOA-X (no OBL),3,5.270952e+03
F8,IFPOA-X (no OBL),4,4.967228e+03
F8,IFPOA-X (no OBL),5,4.255193e+03
F8,IFPOA-X (no OBL),6,5.535469e+03
F8,IFPOA-X (no OBL),7,4.388763e+03
F8,IFPOA-X (no OBL),8,5.680528e+03
F8,IFPOA-X (no OBL),9,4.924273e+03
F8,IFPOA-X (no OBL),10,4.779428e+03
F8,IFPOA-X (no OBL),11,5.367575e+03
F8,IFPOA-X (no OBL),12,5.300210e+03
F8,IFPOA-X (no OBL),13,4.291477e+03
F8,IFPOA-X (no OBL),14,5.222698e+03
F8,IFPOA-X (no OBL),15,5.246457e+03
F8,IFPOA-X (no OBL),16,5.116102e+03
F8,IFPOA-X (no OBL),17,5.416393e+03
F8,IFPOA-X (no OBL),18,5.863029e+03
F8,IFPOA-X (no OBL),19,4.516862e+03
F8,IFPOA-X (no OBL),20,4.402941e+03
F8,IFPOA-X (base/FPA),1,4.190593e+03
F8,IFPOA-X (base/FPA),2,4.717358e+03
F8,IFPOA-X (base/FPA),3,5.134318e+03
F8,IFPOA-X (base/FPA),4,4.183424e+03
F8,IFPOA-X (base/FPA),5,4.862264e+03
F8,IFPOA-X (base/FPA),6,4.489022e+03
F8,IFPOA-X (base/FPA),7,4.370849e+03
