Function,Algorithm,Run,Best
F3,PSO,10,8.322459e+03
F3,PSO,11,3.232842e+03
F3,PSO,12,3.107490e+03
F3,PSO,13,1.183900e+04
F3,PSO,14,4.622402e+03
F3,PSO,15,2.873535e+03
F3,PSO,16,4.354321e+03
F3,PSO,17,4.644103e+03
F3,PSO,18,3.193933e+03
F3,PSO,19,5.306457e+03
F3,PSO,20,3.194796e+03
F3,DE,1,1.776020e+04
F3,DE,2,1.024555e+04
F3,DE,3,1.284831e+04
F3,DE,4,1.194075e+04
F3,DE,5,1.241739e+04
F3,DE,6,1.158083e+04
F3,DE,7,1.039997e+04
F3,DE,8,1.195766e+04
F3,DE,9,9.557666e+03
F3,DE,10,1.444043e+04
F3,DE,11,4.958552e+03
F3,DE,12,4.145152e+03
F3,DE,13,6.387663e+03
F3,DE,14,1.264191e+04
F3,DE,15,8.389171e+03
F3,DE,16,8.870959e+03
F3,DE,17,6.989590e+03
F3,DE,18,7.247475e+03
F3,DE,19,7.847770e+03
F3,DE,20,8.735141e+03
F3,L-SHADE,1,3.568683e+03
F3,L-SHADE,2,3.921825e+03
F3,L-SHADE,3,4.795025e+03
F3,L-SHADE,4,2.694907e+03
F3,L-SHADE,5,3.862114e+03
F3,L-SHADE,6,4.143787e+03
F3,L-SHADE,7,4.857712e+03
F3,L-SHADE,8,3.993517e+03
F3,L-SHADE,9,3.566810e+03
F3,L-SHADE,10,2.429571e+03
F3,L-SHADE,11,2.206401e+03
F3,L-SHADE,12,3.701424e+03
F3,L-SHADE,13,3.493620e+03
F3,L-SHADE,14,3.643403e+03
F3,L-SHADE,15,3.095811e+03
F3,L-SHADE,16,2.676308e+03
F3,L-SHADE,17,4.145860e+03
F3,L-SHADE,18,2.358024e+03
F3,L-SHADE,19,3.614868e+03
F3,L-SHADE,20,2.582963e+03
F3,GWO,1,2.077113e+03
F3,GWO,2,2.570412e+03
F3,GWO,3,5.072911e+02
F3,GWO,4,1.602079e+03
F3,GWO,5,7.192767e+02
F3,GWO,6,4.921690e+02
F3,GWO,7,2.840534e+03
F3,GWO,8,1.952543e+03
F3,GWO,9,6.371843e+02
F3,GWO,10,1.327430e+03
F3,GWO,11,9.560879e+02
F3,GWO,12,1.926320e+03
F3,GWO,13,1.342968e+03
F3,GWO,14,6.060435e+02
F3,GWO,15,1.611433e+03
F3,GWO,16,1.876270e+03
F3,GWO,17,1.356140e+03
F3,GWO,18,1.309518e+03
F3,GWO,19,8.453573e+02
F3,GWO,20,1.065885e+03
F3,WOA,1,1.857978e+04
F3,WOA,2,1.739151e+04
F3,WOA,3,2.019818e+04
F3,WOA,4,1.374941e+04
F3,WOA,5,1.878727e+04
F3,WOA,6,1.255096e+04
F3,WOA,7,2.228016e+04
F3,WOA,8,2.988086e+04
F3,WOA,9,2.378542e+04
F3,WOA,10,1.565545e+04
F3,WOA,11,1.149601e+04
F3,WOA,12,2.399945e+04
F3,WOA,13,8.277631e+03
F3,WOA,14,1.991405e+04
F3,WOA,15,1.440181e+04
F3,WOA,16,1.882828e+04
F3,WOA,17,1.092648e+04
F3,WOA,18,1.460030e+04
F3,WOA,19,1.995958e+04
F3,WOA,20,1.929084e+04
F3,TPE,1,7.135993e+03
F3,TPE,2,6.235184e+03
F3,TPE,3,1.072653e+04
F3,TPE,4,4.134957e+03
F3,TPE,5,8.404099e+03
F3,TPE,6,1.350890e+04
F3,TPE,7,6.268115e+03
