Function,Algorithm,Run,Best
F3,DE,1,1.202198e+05
F3,DE,2,9.084832e+04
F3,DE,3,7.487802e+04
F3,DE,4,1.248051e+05
F3,DE,5,7.248613e+04
F3,DE,6,7.662150e+04
F3,DE,7,1.718022e+05
F3,DE,8,1.483134e+05
F3,DE,9,8.929779e+04
F3,DE,10,8.959920e+04
F3,DE,11,8.876046e+04
F3,DE,12,1.054603e+05
F3,DE,13,1.186517e+05
F3,DE,14,1.155477e+05
F3,DE,15,7.960425e+04
F3,DE,16,1.259851e+05
F3,DE,17,7.132032e+04
F3,DE,18,8.986286e+04
F3,DE,19,8.798268e+04
F3,DE,20,7.769249e+04
F3,L-SHADE,1,7.331104e+04
F3,L-SHADE,2,1.133923e+05
F3,L-SHADE,3,1.266126e+05
F3,L-SHADE,4,8.204479e+04
F3,L-SHADE,5,1.003547e+05
F3,L-SHADE,6,8.806447e+04
F3,L-SHADE,7,8.720939e+04
F3,L-SHADE,8,1.191319e+05
F3,L-SHADE,9,7.412757e+04
F3,L-SHADE,10,1.244964e+05
F3,L-SHADE,11,1.201259e+05
F3,L-SHADE,12,8.464022e+04
F3,L-SHADE,13,8.369514e+04
F3,L-SHADE,14,1.169749e+05
F3,L-SHADE,15,1.087638e+05
F3,L-SHADE,16,9.374777e+04
F3,L-SHADE,17,9.747409e+04
F3,L-SHADE,18,1.042848e+05
F3,L-SHADE,19,7.971109e+04
F3,L-SHADE,20,1.132104e+05
F3,GWO,1,3.096386e+04
F3,GWO,2,5.309215e+04
F3,GWO,3,5.505719e+04
F3,GWO,4,5.618942e+04
F3,GWO,5,5.194855e+04
F3,GWO,6,4.001707e+04
F3,GWO,7,5.631588e+04
F3,GWO,8,4.242571e+04
F3,GWO,9,6.430453e+04
F3,GWO,10,4.727184e+04
F3,GWO,11,2.965034e+04
F3,GWO,12,6.539256e+04
F3,GWO,13,4.071793e+04
F3,GWO,14,6.486723e+04
F3,GWO,15,3.933441e+04
F3,GWO,16,5.220924e+04
F3,GWO,17,4.395766e+04
F3,GWO,18,3.590987e+04
F3,GWO,19,7.038584e+04
F3,GWO,20,4.404472e+04
F3,WOA,1,2.737617e+05
F3,WOA,2,2.564269e+05
F3,WOA,3,3.623181e+05
F3,WOA,4,6.509233e+05
F3,WOA,5,2.810740e+05
F3,WOA,6,3.859532e+05
F3,WOA,7,3.674663e+05
F3,WOA,8,3.946721e+05
F3,WOA,9,1.785945e+05
F3,WOA,10,4.026417e+05
F3,WOA,11,3.478200e+05
F3,WOA,12,2.557418e+05
F3,WOA,13,3.288410e+05
F3,WOA,14,2.769037e+05
F3,WOA,15,2.447699e+05
F3,WOA,16,3.194552e+05
F3,WOA,17,4.083740e+05
F3,WOA,18,3.213284e+05
F3,WOA,19,3.092246e+05
F3,WOA,20,1.597523e+05
F3,TPE,1,1.662640e+05
F3,TPE,2,1.515153e+05
F3,TPE,3,1.161666e+05
F3,TPE,4,1.404598e+05
F3,TPE,5,9.621968e+04
F3,TPE,6,1.380680e+05
F3,TPE,7,1.233176e+05
F3,TPE,8,1.199654e+05
F3,TPE,9,9.817186e+04
F3,TPE,10,1.235098e+05
F3,TPE,11,1.238285e+05
F3,TPE,12,1.385469e+05
F3,TPE,13,1.355987e+05
F3,TPE,14,1.134616e+05
F3,TPE,15,1.270803e+05
F3,TPE,16,1.188106e+05
F3,TPE,17,1.111340e+05
F3,TPE,18,1.591058e+05
F3,TPE,19,1.007219e+05
F3,TPE,20,8.516188e+04
F4,IFPOA-X,1,6.101446e+00
F4,IFPOA-X,2,8.833332e+00
F4,IFPOA-X,3,1.310451e+01
F4,IFPOA-X,4,1.915372e+01
F4,IFPOA-X,5,9.980189e+00
F4,IFPOA-X,6,3.852063e+00
F4,IFPOA-X,7,8.619151e+00
F4,IFPOA-X,8,6.883156e+00
F4,IFPOA-X,9,1.154251e+01
F4,IFPOA-X,10,5.425344e+00
F4,IFPOA-X,11,8.771781e+00
F4,IFPOA-X,12,1.272393e+01
F4,IFPOA-X,13,2.538956e+00
F4,IFPOA-X,14,3.218410e+00
F4,IFPOA-X,15,3.160879e+00
F4,IFPOA-X,16,1.175561e+01
F4,IFPOA-X,17,8.103261e+00
F4,IFPOA-X,18,1.009544e+01
F4,IFPOA-X,19,2.935932e+00
F4,IFPOA-X,20,1.128440e+01
F4,FPA,1,3.486717e+01
F4,FPA,2,3.568942e+01
F4,FPA,3,3.448927e+01
F4,FPA,4,3.029744e+01
F4,FPA,5,2.834204e+01
F4,FPA,6,4.168052e+01
F4,FPA,7,3.036280e+01
F4,FPA,8,2.943272e+01
F4,FPA,9,3.817016e+01
F4,FPA,10,3.074076e+01
F4,FPA,11,3.170963e+01
F4,FPA,12,2.902734e+01
F4,FPA,13,3.992223e+01
F4,FPA,14,3.175870e+01
F4,FPA,15,2.888703e+01
F4,FPA,16,3.069443e+01
F4,FPA,17,3.589776e+01
F4,FPA,18,3.790311e+01
F4,FPA,19,3.187446e+01
F4,FPA,20,2.940639e+01
F4,PSO,1,3.544684e+01
F4,PSO,2,3.454891e+01
F4,PSO,3,2.587195e+01
F4,PSO,4,2.900375e+01
F4,PSO,5,2.726562e+01
F4,PSO,6,3.517005e+01
F4,PSO,7,2.802442e+01
F4,PSO,8,3.557209e+01
F4,PSO,9,3.242502e+01
F4,PSO,10,3.508822e+01
F4,PSO,11,2.901172e+01
F4,PSO,12,3.964652e+01
F4,PSO,13,3.268520e+01
F4,PSO,14,3.247752e+01
F4,PSO,15,2.714133e+01
F4,PSO,16,3.277317e+01
F4,PSO,17,3.534826e+01
F4,PSO,18,2.873813e+01
F4,PSO,19,3.342059e+01
F4,PSO,20,2.779264e+01
F4,DE,1,6.642561e+01
F4,DE,2,7.623718e+01
