Function,Variant,Run,Best
F1,IFPOA-X (no OBL),18,1.533240e+04
F1,IFPOA-X (no OBL),19,1.933666e+04
F1,IFPOA-X (no OBL),20,2.469382e+04
F1,IFPOA-X (no JADE),1,4.214453e-08
F1,IFPOA-X (no JADE),2,5.904076e-11
F1,IFPOA-X (no JADE),3,1.500445e-08
F1,IFPOA-X (no JADE),4,8.067026e-09
F1,IFPOA-X (no JADE),5,7.678981e-12
F1,IFPOA-X (no JADE),6,1.001286e-06
F1,IFPOA-X (no JADE),7,1.869119e-07
F1,IFPOA-X (no JADE),8,8.940112e-10
F1,IFPOA-X (no JADE),9,1.676385e-09
F1,IFPOA-X (no JADE),10,1.631199e-08
F1,IFPOA-X (no JADE),11,3.509571e-06
F1,IFPOA-X (no JADE),12,1.559805e-06
F1,IFPOA-X (no JADE),13,3.651486e-09
F1,IFPOA-X (no JADE),14,9.877941e-07
F1,IFPOA-X (no JADE),15,1.817030e-05
F1,IFPOA-X (no JADE),16,6.154360e-07
F1,IFPOA-X (no JADE),17,5.739079e-07
F1,IFPOA-X (no JADE),18,6.015754e-11
F1,IFPOA-X (no JADE),19,4.715818e-11
F1,IFPOA-X (no JADE),20,1.652384e-10
F1,IFPOA-X (no Bandit),1,1.307492e+00
F1,IFPOA-X (no Bandit),2,5.310453e+00
F1,IFPOA-X (no Bandit),3,2.129996e-02
F1,IFPOA-X (no Bandit),4,2.723891e-01
F1,IFPOA-X (no Bandit),5,3.174883e-02
F1,IFPOA-X (no Bandit),6,4.929347e-02
F1,IFPOA-X (no Bandit),7,6.440298e-02
F1,IFPOA-X (no Bandit),8,1.558304e+01
F1,IFPOA-X (no Bandit),9,1.103414e+00
F1,IFPOA-X (no Bandit),10,4.082880e+00
F1,IFPOA-X (no Bandit),11,7.988915e-02
F1,IFPOA-X (no Bandit),12,5.830529e-03
F1,IFPOA-X (no Bandit),13,2.925973e-01
F1,IFPOA-X (no Bandit),14,4.478112e-05
F1,IFPOA-X (no Bandit),15,2.949882e+00
F1,IFPOA-X (no Bandit),16,7.677688e-01
F1,IFPOA-X (no Bandit),17,4.220527e-01
F1,IFPOA-X (no Bandit),18,2.953931e-01
F1,IFPOA-X (no Bandit),19,1.708488e-01
F1,IFPOA-X (no Bandit),20,1.809714e-05
F1,IFPOA-X (base/FPA),1,1.983205e+04
F1,IFPOA-X (base/FPA),2,1.894679e+04
F1,IFPOA-X (base/FPA),3,1.663256e+04
F1,IFPOA-X (base/FPA),4,2.547161e+04
F1,IFPOA-X (base/FPA),5,2.328663e+04
F1,IFPOA-X (base/FPA),6,2.263399e+04
F1,IFPOA-X (base/FPA),7,1.665100e+04
F1,IFPOA-X (base/FPA),8,2.102940e+04
F1,IFPOA-X (base/FPA),9,2.143828e+04
F1,IFPOA-X (base/FPA),10,1.858812e+04
F1,IFPOA-X (base/FPA),11,1.926110e+04
F1,IFPOA-X (base/FPA),12,1.730117e+04
F1,IFPOA-X (base/FPA),13,2.057138e+04
F1,IFPOA-X (base/FPA),14,2.232852e+04
F1,IFPOA-X (base/FPA),15,2.480854e+04
F1,IFPOA-X (base/FPA),16,2.349376e+04
F1,IFPOA-X (base/FPA),17,1.698563e+04
F1,IFPOA-X (base/FPA),18,2.000277e+04
F1,IFPOA-X (base/FPA),19,1.808413e+04
F1,IFPOA-X (base/FPA),20,1.603714e+04
F2,IFPOA-X (no OBL),1,2.299432e+02
F2,IFPOA-X (no OBL),2,5.412797e+02
F2,IFPOA-X (no OBL),3,7.011737e+01
F2,IFPOA-X (no OBL),4,3.747575e+03
F2,IFPOA-X (no OBL),5,7.595015e+04
F2,IFPOA-X (no OBL),6,1.035961e+02
F2,IFPOA-X (no OBL),7,4.804625e+03
F2,IFPOA-X (no OBL),8,1.431003e+03
F2,IFPOA-X (no OBL),9,6.442560e+01
F2,IFPOA-X (no OBL),10,2.396825e+02
F2,IFPOA-X (no OBL),11,1.395000e+03
F2,IFPOA-X (no OBL),12,1.723466e+03
F2,IFPOA-X (no OBL),13,1.648465e+02
F2,IFPOA-X (no OBL),14,3.855507e+02
F2,IFPOA-X (no OBL),15,1.796112e+02
F2,IFPOA-X (no OBL),16,5.053919e+03
F2,IFPOA-X (no OBL),17,6.739871e+01
F2,IFPOA-X (no OBL),18,4.626921e+01
F2,IFPOA-X (no OBL),19,7.555742e+01
F2,IFPOA-X (no OBL),20,6.589447e+02
F2,IFPOA-X (no JADE),1,2.931611e-08
F2,IFPOA-X (no JADE),2,5.244521e-05
F2,IFPOA-X (no JADE),3,8.464491e-06
F2,IFPOA-X (no JADE),4,3.436531e-07
F2,IFPOA-X (no JADE),5,1.100672e-06
F2,IFPOA-X (no JADE),6,1.940697e-05
F2,IFPOA-X (no JADE),7,3.556682e-05
F2,IFPOA-X (no JADE),8,1.459876e-06
F2,IFPOA-X (no JADE),9,9.619081e-08
F2,IFPOA-X (no JADE),10,4.359119e-05
F2,IFPOA-X (no JADE),11,1.261409e-07
F2,IFPOA-X (no JADE),12,3.858860e-05
F2,IFPOA-X (no JADE),13,1.334874e-05
F2,IFPOA-X (no JADE),14,4.827748e-07
F2,IFPOA-X (no JADE),15,1.169089e-06
F2,IFPOA-X (no JADE),16,2.463427e-06
F2,IFPOA-X (no JADE),17,1.644929e-04
F2,IFPOA-X (no JADE),18,8.934062e-05
F2,IFPOA-X (no JADE),19,6.521131e-07
F2,IFPOA-X (no JADE),20,6.772664e-05
F2,IFPOA-X (no Bandit),1,8.281338e-02
F2,IFPOA-X (no Bandit),2,3.157365e-02
F2,IFPOA-X (no Bandit),3,3.125335e-01
F2,IFPOA-X (no Bandit),4,3.987139e-01
F2,IFPOA-X (no Bandit),5,7.570722e-02
F2,IFPOA-X (no Bandit),6,9.297825e-02
F2,IFPOA-X (no Bandit),7,9.103897e-02
F2,IFPOA-X (no Bandit),8,8.504872e-02
F2,IFPOA-X (no Bandit),9,4.979852e-01
F2,IFPOA-X (no Bandit),10,9.636026e-02
F2,IFPOA-X (no Bandit),11,2.734569e-01
F2,IFPOA-X (no Bandit),12,4.590661e-02
F2,IFPOA-X (no Bandit),13,6.085984e-02
F2,IFPOA-X (no Bandit),14,1.760783e-01
F2,IFPOA-X (no Bandit),15,1.280581e-02
F2,IFPOA-X (no Bandit),16,8.293578e-02
F2,IFPOA-X (no Bandit),17,1.126493e-01
F2,IFPOA-X (no Bandit),18,6.104053e-02
F2,IFPOA-X (no Bandit),19,7.281652e-02
F2,IFPOA-X (no Bandit),20,1.450749e-03
F2,IFPOA-X (base/FPA),1,3.084194e+03
F2,IFPOA-X (base/FPA),2,1.299651e+02
